O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.B.3.a	Mechanics/Electronics	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.a	Mechanics/Electronics	OI	1.17	05/2026	AI/Expert
11-1011.00	1.B.3.b	Construction/Woodwork	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.b	Construction/Woodwork	OI	1.06	05/2026	AI/Expert
11-1011.00	1.B.3.c	Transportation/Machine Operation	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.c	Transportation/Machine Operation	OI	1.10	05/2026	AI/Expert
11-1011.00	1.B.3.d	Physical/Manual Labor	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.d	Physical/Manual Labor	OI	1.00	05/2026	AI/Expert
11-1011.00	1.B.3.e	Protective Service	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.e	Protective Service	OI	1.32	05/2026	AI/Expert
11-1011.00	1.B.3.f	Agriculture	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.f	Agriculture	OI	1.06	05/2026	AI/Expert
11-1011.00	1.B.3.g	Nature/Outdoors	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.g	Nature/Outdoors	OI	1.11	05/2026	AI/Expert
11-1011.00	1.B.3.h	Animal Service	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.h	Animal Service	OI	1.02	05/2026	AI/Expert
11-1011.00	1.B.3.i	Athletics	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.i	Athletics	OI	1.17	05/2026	AI/Expert
11-1011.00	1.B.3.j	Engineering	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.j	Engineering	OI	1.54	05/2026	AI/Expert
11-1011.00	1.B.3.k	Physical Science	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.k	Physical Science	OI	1.10	05/2026	AI/Expert
11-1011.00	1.B.3.l	Life Science	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.l	Life Science	OI	1.23	05/2026	AI/Expert
11-1011.00	1.B.3.m	Medical Science	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.m	Medical Science	OI	1.28	05/2026	AI/Expert
11-1011.00	1.B.3.n	Social Science	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.n	Social Science	OI	1.81	05/2026	AI/Expert
11-1011.00	1.B.3.o	Humanities	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.o	Humanities	OI	1.38	05/2026	AI/Expert
11-1011.00	1.B.3.p	Mathematics/Statistics	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.p	Mathematics/Statistics	OI	1.97	05/2026	AI/Expert
11-1011.00	1.B.3.q	Information Technology	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.q	Information Technology	OI	2.37	05/2026	AI/Expert
11-1011.00	1.B.3.r	Visual Arts	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.r	Visual Arts	OI	1.13	05/2026	AI/Expert
11-1011.00	1.B.3.s	Applied Arts and Design	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.s	Applied Arts and Design	OI	1.19	05/2026	AI/Expert
11-1011.00	1.B.3.t	Performing Arts	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.t	Performing Arts	OI	1.13	05/2026	AI/Expert
11-1011.00	1.B.3.u	Music	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.u	Music	OI	1.07	05/2026	AI/Expert
11-1011.00	1.B.3.v	Creative Writing	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.v	Creative Writing	OI	1.41	05/2026	AI/Expert
11-1011.00	1.B.3.w	Media	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.w	Media	OI	2.31	05/2026	AI/Expert
11-1011.00	1.B.3.x	Culinary Art	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.x	Culinary Art	OI	1.23	05/2026	AI/Expert
11-1011.00	1.B.3.y	Teaching/Education	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.y	Teaching/Education	OI	2.12	05/2026	AI/Expert
11-1011.00	1.B.3.z	Social Service	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.z	Social Service	OI	1.63	05/2026	AI/Expert
11-1011.00	1.B.3.aa	Health Care Service	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.aa	Health Care Service	OI	1.79	05/2026	AI/Expert
11-1011.00	1.B.3.ab	Religious Activities	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ab	Religious Activities	OI	1.09	05/2026	AI/Expert
11-1011.00	1.B.3.ac	Personal Service	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ac	Personal Service	OI	1.56	05/2026	AI/Expert
11-1011.00	1.B.3.ad	Professional Advising	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ad	Professional Advising	OI	1.78	05/2026	AI/Expert
11-1011.00	1.B.3.ae	Business Initiatives	DS	2.00	05/2026	AI/Expert
11-1011.00	1.B.3.ae	Business Initiatives	OI	6.82	05/2026	AI/Expert
11-1011.00	1.B.3.af	Sales	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.af	Sales	OI	2.87	05/2026	AI/Expert
11-1011.00	1.B.3.ag	Marketing/Advertising	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ag	Marketing/Advertising	OI	3.51	05/2026	AI/Expert
11-1011.00	1.B.3.ah	Finance	DS	3.00	05/2026	AI/Expert
11-1011.00	1.B.3.ah	Finance	OI	5.51	05/2026	AI/Expert
11-1011.00	1.B.3.ai	Accounting	DS	5.00	05/2026	AI/Expert
11-1011.00	1.B.3.ai	Accounting	OI	4.02	05/2026	AI/Expert
11-1011.00	1.B.3.aj	Human Resources	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.aj	Human Resources	OI	3.86	05/2026	AI/Expert
