O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	8823	FT	1	5.92	76	4.2651	1.3474	22.4442	N	08/2023	Incumbent
11-1011.00	8823	FT	2	15.98	76	5.6031	7.6477	30.3982	N	08/2023	Incumbent
11-1011.00	8823	FT	3	29.68	76	9.5346	14.5180	51.1837	N	08/2023	Incumbent
11-1011.00	8823	FT	4	21.18	76	8.3862	8.9874	42.2265	N	08/2023	Incumbent
11-1011.00	8823	FT	5	19.71	76	7.3666	8.8518	38.2911	N	08/2023	Incumbent
11-1011.00	8823	FT	6	4.91	76	2.6748	1.6252	13.9155	N	08/2023	Incumbent
11-1011.00	8823	FT	7	2.63	76	2.2224	0.4773	13.2071	N	08/2023	Incumbent
11-1011.00	8823	IM	n/a	4.52	75	0.1055	4.3146	4.7350	N	08/2023	Incumbent
11-1011.00	8823	RT	n/a	74.44	95	7.3023	57.6139	86.1881	N	08/2023	Incumbent
11-1011.00	8824	FT	1	1.42	85	0.9174	0.3929	5.0309	N	08/2023	Incumbent
11-1011.00	8824	FT	2	14.44	85	5.2801	6.7330	28.3090	N	08/2023	Incumbent
11-1011.00	8824	FT	3	27.31	85	7.2493	15.3822	43.7169	N	08/2023	Incumbent
11-1011.00	8824	FT	4	25.52	85	7.6938	13.2843	43.3856	N	08/2023	Incumbent
11-1011.00	8824	FT	5	26.88	85	7.3816	14.8321	43.6841	N	08/2023	Incumbent
11-1011.00	8824	FT	6	2.52	85	2.0396	0.4936	11.8747	N	08/2023	Incumbent
11-1011.00	8824	FT	7	1.90	85	1.3616	0.4516	7.6444	N	08/2023	Incumbent
11-1011.00	8824	IM	n/a	4.32	83	0.1071	4.1057	4.5318	N	08/2023	Incumbent
11-1011.00	8824	RT	n/a	81.71	95	7.8833	61.0491	92.7151	N	08/2023	Incumbent
11-1011.00	8827	FT	1	15.50	85	5.3008	7.5815	29.0895	N	08/2023	Incumbent
11-1011.00	8827	FT	2	38.21	85	9.3143	22.0083	57.5386	N	08/2023	Incumbent
11-1011.00	8827	FT	3	32.73	85	10.3442	16.0439	55.3230	N	08/2023	Incumbent
11-1011.00	8827	FT	4	5.15	85	2.5088	1.9164	13.1019	N	08/2023	Incumbent
11-1011.00	8827	FT	5	5.25	85	2.6259	1.9000	13.6663	N	08/2023	Incumbent
11-1011.00	8827	FT	6	0.19	85	0.1907	0.0249	1.4018	N	08/2023	Incumbent
11-1011.00	8827	FT	7	2.98	85	2.1083	0.7159	11.5779	N	08/2023	Incumbent
11-1011.00	8827	IM	n/a	4.30	87	0.1527	3.9916	4.5985	N	08/2023	Incumbent
11-1011.00	8827	RT	n/a	93.41	95	2.9498	84.5520	97.3448	N	08/2023	Incumbent
11-1011.00	8826	FT	1	3.03	91	1.9033	0.8544	10.1668	N	08/2023	Incumbent
11-1011.00	8826	FT	2	17.33	91	6.6618	7.6851	34.5574	N	08/2023	Incumbent
11-1011.00	8826	FT	3	20.30	91	7.9195	8.7894	40.2499	N	08/2023	Incumbent
11-1011.00	8826	FT	4	18.10	91	7.1621	7.8023	36.5921	N	08/2023	Incumbent
11-1011.00	8826	FT	5	33.16	91	8.4471	18.8723	51.4012	N	08/2023	Incumbent
11-1011.00	8826	FT	6	2.01	91	1.1744	0.6216	6.2858	N	08/2023	Incumbent
11-1011.00	8826	FT	7	6.07	91	2.7269	2.4391	14.3197	N	08/2023	Incumbent
11-1011.00	8826	IM	n/a	4.24	91	0.1424	3.9608	4.5266	N	08/2023	Incumbent
11-1011.00	8826	RT	n/a	97.79	94	1.5735	91.2414	99.4721	N	08/2023	Incumbent
11-1011.00	8834	FT	1	1.98	89	1.4672	0.4487	8.3161	N	08/2023	Incumbent
11-1011.00	8834	FT	2	14.06	89	5.0049	6.7033	27.1485	N	08/2023	Incumbent
11-1011.00	8834	FT	3	42.60	89	9.0775	26.1908	60.8125	N	08/2023	Incumbent
11-1011.00	8834	FT	4	21.24	89	8.6332	8.8158	42.9230	N	08/2023	Incumbent
11-1011.00	8834	FT	5	13.18	89	5.7567	5.2935	29.2085	N	08/2023	Incumbent
11-1011.00	8834	FT	6	6.24	89	3.4566	2.0167	17.7168	N	08/2023	Incumbent
11-1011.00	8834	FT	7	0.70	89	0.5058	0.1635	2.9132	N	08/2023	Incumbent
11-1011.00	8834	IM	n/a	4.17	88	0.1950	3.7827	4.5578	N	08/2023	Incumbent
11-1011.00	8834	RT	n/a	92.92	95	3.5072	81.9943	97.4244	N	08/2023	Incumbent
11-1011.00	8836	FT	1	9.72	88	3.8700	4.2910	20.5529	N	08/2023	Incumbent
11-1011.00	8836	FT	2	29.40	88	8.3085	15.8198	47.9898	N	08/2023	Incumbent
11-1011.00	8836	FT	3	26.87	88	7.5416	14.6315	44.0716	N	08/2023	Incumbent
11-1011.00	8836	FT	4	18.17	88	6.6762	8.3414	35.1543	N	08/2023	Incumbent
11-1011.00	8836	FT	5	12.56	88	4.8925	5.5907	25.8242	N	08/2023	Incumbent
11-1011.00	8836	FT	6	0.90	88	0.8857	0.1259	6.1378	N	08/2023	Incumbent
11-1011.00	8836	FT	7	2.37	88	1.5251	0.6534	8.2512	N	08/2023	Incumbent
11-1011.00	8836	IM	n/a	4.14	86	0.1284	3.8832	4.3937	N	08/2023	Incumbent
11-1011.00	8836	RT	n/a	88.43	94	7.5883	63.6669	97.0898	N	08/2023	Incumbent
11-1011.00	8825	FT	1	4.08	92	2.0556	1.4774	10.7739	N	08/2023	Incumbent
11-1011.00	8825	FT	2	22.03	92	5.5948	12.8909	35.0512	N	08/2023	Incumbent
11-1011.00	8825	FT	3	36.36	92	8.5971	21.4571	54.4473	N	08/2023	Incumbent
11-1011.00	8825	FT	4	8.29	92	5.1545	2.2986	25.7904	N	08/2023	Incumbent
11-1011.00	8825	FT	5	24.71	92	7.0826	13.3473	41.1434	N	08/2023	Incumbent
11-1011.00	8825	FT	6	1.97	92	1.3961	0.4733	7.7959	N	08/2023	Incumbent
11-1011.00	8825	FT	7	2.56	92	1.4414	0.8243	7.6469	N	08/2023	Incumbent
11-1011.00	8825	IM	n/a	4.13	91	0.1505	3.8353	4.4332	N	08/2023	Incumbent
11-1011.00	8825	RT	n/a	98.57	94	1.2603	92.1011	99.7562	N	08/2023	Incumbent
11-1011.00	8828	FT	1	2.91	70	1.7252	0.8767	9.2022	N	08/2023	Incumbent
11-1011.00	8828	FT	2	3.99	70	2.4292	1.1619	12.8331	N	08/2023	Incumbent
11-1011.00	8828	FT	3	27.29	70	10.9952	11.0507	53.1317	N	08/2023	Incumbent
11-1011.00	8828	FT	4	10.95	70	5.3329	3.9637	26.7990	N	08/2023	Incumbent
11-1011.00	8828	FT	5	36.62	70	9.4339	20.4319	56.5191	N	08/2023	Incumbent
11-1011.00	8828	FT	6	9.41	70	4.1591	3.7754	21.5636	N	08/2023	Incumbent
11-1011.00	8828	FT	7	8.84	70	4.0084	3.4686	20.7334	N	08/2023	Incumbent
11-1011.00	8828	IM	n/a	4.13	73	0.1786	3.7774	4.4893	N	08/2023	Incumbent
11-1011.00	8828	RT	n/a	70.43	94	7.4993	53.8141	82.9637	N	08/2023	Incumbent
11-1011.00	8832	FT	1	15.84	67	7.3965	5.8522	36.2984	N	08/2023	Incumbent
11-1011.00	8832	FT	2	35.93	67	9.2828	20.0414	55.6400	N	08/2023	Incumbent
11-1011.00	8832	FT	3	32.38	67	10.4333	15.6103	55.3575	N	08/2023	Incumbent
11-1011.00	8832	FT	4	8.62	67	3.9507	3.3489	20.4307	N	08/2023	Incumbent
11-1011.00	8832	FT	5	7.23	67	3.1036	3.0024	16.4107	N	08/2023	Incumbent
11-1011.00	8832	FT	6	0.00	67	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8832	FT	7	0.00	67	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8832	IM	n/a	4.13	66	0.1854	3.7629	4.5035	N	08/2023	Incumbent
11-1011.00	8832	RT	n/a	75.74	94	6.5363	60.6384	86.3541	N	08/2023	Incumbent
11-1011.00	8831	FT	1	11.90	84	3.8413	6.1159	21.8688	N	08/2023	Incumbent
11-1011.00	8831	FT	2	25.73	84	6.5019	14.9705	40.5308	N	08/2023	Incumbent
11-1011.00	8831	FT	3	29.22	84	9.2367	14.5169	50.0892	N	08/2023	Incumbent
11-1011.00	8831	FT	4	21.82	84	8.8405	9.0569	43.8961	N	08/2023	Incumbent
11-1011.00	8831	FT	5	8.46	84	3.1611	3.9455	17.2306	N	08/2023	Incumbent
11-1011.00	8831	FT	6	1.69	84	1.3337	0.3483	7.8164	N	08/2023	Incumbent
11-1011.00	8831	FT	7	1.18	84	1.1744	0.1592	8.1567	N	08/2023	Incumbent
11-1011.00	8831	IM	n/a	4.09	84	0.1489	3.7906	4.3828	N	08/2023	Incumbent
11-1011.00	8831	RT	n/a	93.14	93	2.2627	87.0457	96.4821	N	08/2023	Incumbent
11-1011.00	8843	FT	1	2.09	89	1.6057	0.4494	9.2066	N	08/2023	Incumbent
